Регион,Несовершеннолетними или при их соучастии 2016,Ранее совершавшими преступления 2016,В том числе ранее судимыми 2016,Группой лиц 2016,Группой лиц по предварительному сговору 2016,Организованной группой 2016,Преступным сообществом (преступной организацией) 2016,В состоянии алкогольного опьянения 2016,В состоянии наркотического опьянения 2016,В состоянии токсического опьянения 2016,Несовершеннолетними или при их соучастии 2017,Ранее совершавшими преступления 2017,В том числе ранее судимыми 2017,Группой лиц 2017,Группой лиц по предварительному сговору 2017,Организованной группой 2017,Преступным сообществом (преступной организацией) 2017,В состоянии алкогольного опьянения 2017,В состоянии наркотического опьянения 2017,В состоянии токсического опьянения 2017,Несовершеннолетними или при их соучастии 2018,Ранее совершавшими преступления 2018,В том числе ранее судимыми 2018,Группой лиц 2018,Группой лиц по предварительному сговору 2018,Организованной группой 2018,Преступным сообществом (преступной организацией) 2018,В состоянии алкогольного опьянения 2018,В состоянии наркотического опьянения 2018,В состоянии токсического опьянения 2018,Несовершеннолетними или при их соучастии 2019,Ранее совершавшими преступления 2019,В том числе ранее судимыми 2019,Группой лиц 2019,Группой лиц по предварительному сговору 2019,Организованной группой 2019,Преступным сообществом (преступной организацией) 2019,В состоянии алкогольного опьянения 2019,В состоянии наркотического опьянения 2019,В состоянии токсического опьянения 2019,Несовершеннолетними или при их соучастии 2020,Ранее совершавшими преступления 2020,В том числе ранее судимыми 2020,Группой лиц 2020,Группой лиц по предварительному сговору 2020,Организованной группой 2020,Преступным сообществом (преступной организацией) 2020,В состоянии алкогольного опьянения 2020,В состоянии наркотического опьянения 2020,В состоянии токсического опьянения 2020,Несовершеннолетними или при их соучастии 2021,Ранее совершавшими преступления 2021,В том числе ранее судимыми 2021,Группой лиц 2021,Группой лиц по предварительному сговору 2021,Организованной группой 2021,Преступным сообществом (преступной организацией) 2021,В состоянии алкогольного опьянения 2021,В состоянии наркотического опьянения 2021,В состоянии токсического опьянения 2021,"Членом семьи, супругом, сожителем, сексуальным партнером (в том числе бывшими) 2021",Из них в отношении женщин 2021,Из них в отношении несовершеннолетних 2021,Иностранными гражданами и лицами без гражданства 2021,Из них гражданами государств – участников СНГ 2021,Из них трудовых мигрантов 2021,Из них незаконных мигрантов 2021
Еврейская автономная область,631,6248,4193,91,517,101,0,4271,263,0,637,6902,3962,120,742,7,0,3749,72,0,571,6485,3387,53,464,23,0,3408,27,0,488,5760,2891,105,376,8,0,2733,12,12,399,6230,3502,19,341,12,0,3213,34,0,705,7053,3810,50,484,22,0,3856,26,0,2113,1416,1288,42,35,0,7
Забайкальский край,8536,69492,38083,710,9915,1531,289,51850,2300,7,7056,61788,33699,420,8790,1386,216,44087,2384,15,6726,58413,31605,448,7995,1126,0,42693,1986,7,5238,59045,33074,339,6892,1512,36,40508,995,21,4583,53715,30369,309,5091,486,133,40294,762,25,3666,55335,30997,244,4020,848,1,37622,477,16,14204,9735,6030,529,186,15,168
Ивановская область,2470,29579,15030,211,3934,798,30,19245,396,81,1859,26490,13045,132,3195,199,0,16489,407,3,1986,26759,14007,87,2773,106,0,16378,211,24,2502,24738,13370,149,2939,732,0,14586,172,10,1994,26436,14141,52,2958,791,31,15069,236,0,1326,25826,14652,65,2296,535,129,13676,45,0,7135,4876,2810,657,436,8,0
Иркутская область,10336,101483,50646,1159,10733,1009,95,69355,2653,31,9580,101935,51049,800,11838,1515,184,64230,2184,0,9268,99308,48712,625,9630,1246,174,66339,543,47,7858,96563,49284,605,8575,665,263,60122,609,40,7370,95433,49234,565,7774,1112,50,57289,652,0,6373,95463,48150,464,7271,1167,352,53307,833,3,18534,11796,8582,1433,1173,244,117
Кабардино-Балкарская Республика,973,16370,8382,85,1939,789,7,4521,288,0,1042,16166,9315,90,2600,672,19,3899,389,16,867,15803,8304,57,2197,278,55,3960,226,0,820,16014,8321,48,1755,297,48,4249,410,0,636,16270,9136,71,2467,261,41,3807,405,0,551,16947,9850,60,1877,165,57,4348,463,8,2801,1927,2030,489,399,2,0
Калининградская область,3205,28369,15229,176,2965,78,0,17004,1169,28,2362,27093,15358,138,2485,50,0,13215,354,0,3072,25774,13765,125,2557,88,0,14471,404,1,2301,27602,14178,77,2295,53,12,13068,326,0,1719,30222,16869,129,1878,188,16,13444,272,0,1521,26845,14812,56,1845,339,45,12908,143,0,5737,4247,2282,796,629,59,30
Калужская область,2440,28076,16664,357,6094,650,156,17960,867,0,2242,30775,19108,171,5630,1569,24,18722,685,15,2623,35386,18945,137,6249,2607,98,16696,796,32,2423,32913,19211,113,4862,5337,0,14178,217,0,3000,28732,16412,135,4102,4467,53,14446,191,8,2370,28464,19104,61,4526,5552,15,14774,375,0,5173,3438,2683,4189,3526,234,46
Камчатский край,1348,12696,7448,127,1614,138,36,8194,166,0,1086,12269,7042,107,1642,63,13,7645,176,7,1440,12881,6929,111,1415,76,31,7936,203,0,870,12803,7284,53,956,79,68,7569,174,2,925,12205,6616,95,923,186,31,7527,99,0,697,12269,6509,71,899,106,46,6645,204,0,2064,1381,1147,730,702,82,127
Карачаево-Черкесская Республика,704,9601,5060,63,1133,216,0,3327,523,12,330,9340,4924,34,1274,85,0,4050,865,7,534,10423,5110,28,2188,106,63,4596,1068,0,718,9344,5161,51,2101,87,0,3596,825,6,616,11157,6469,51,2239,246,287,4559,240,0,412,11052,5847,50,2200,350,27,5122,402,11,1542,1033,1034,357,320,16,5
Кемеровская область – Кузбасс,10772,153014,74200,913,10962,453,0,108335,2108,17,8550,144054,72920,626,9699,361,8,95493,1124,11,9753,139632,73280,728,9468,471,172,86828,822,19,8357,129791,70190,806,8060,423,37,75175,743,7,9527,129074,69444,625,8011,528,144,70084,871,10,6976,123886,69155,324,6990,845,145,62854,791,0,30405,21141,12618,867,621,32,37
